imdbID,Title,Year,Rating,WatchedDate,Tags,Review
tt3748528,Rogue One: A Star Wars Story,2016,4.0,2022-09-04,Good,"REDUX (09/04/2022)
Rating: 8.1
Overall, an entertaining movie that helps rejuvenate the Star Wars franchise through its well executed action scenes and fan-service to the original film, though it is filled with corny dialogue and introduction of too many new elements that it is not able to be on the same par as the original trilogy.

ORIGINAL (01/06/2017)
Rating: 8.5
Final Third of the movie was amazing, great action, great plot, has a gradual progression from slow to fast pace, not a memorable cast due to the fact that they all die."
tt5074352,Dangal,2016,3.0,2017-01-07,Decent,"Rating: 7.0
Very good acting from Aamir Khan, plot is very well spaced out, very predictable and cliche."
tt0087538,The Karate Kid,1984,3.5,2017-01-08,Pretty Good,"Rating: 7.7
Very good acting by Pat Morita, Terrible Screenplay, Great story, Rememberable movie."
tt3783958,La La Land,2016,5.0,2017-01-10,Incredible,"Rating: 9.6
Incredible acting by both actors, Great chemistry, Incredible music, Incredible Story, Incredible Screenplay, Movie comes around full circle, Unpredictable ending, Ryan cannot sing, some points are kinda pointless."
tt2671706,Fences,2016,2.5,2017-02-12,Pretty Bad,"Rating: 6.7
First Half extremely boring (Did not connect with story), Southern drawl makes it a turn off, Great Acting by all characters (movie only acting though), Viola Davis was incredible, Screenplay makes it only based on acting so might appeal to others who like plays and broadway."
tt0075148,Rocky,1976,5.0,2017-02-12,Brilliant,"Rating: 9.7
Brilliant acting by all characters, Incredible story, Incredible screenplay, Incredible music, Unpredictable ending, Can tell the crew made the best of what they could from such a low budget, Can be very slow at points."
tt2543164,Arrival,2016,4.0,2017-02-12,Good,"Rating: 8.1
Acting has no emotion but is not bad, Great Story, Great Screenplay, Incredible Cinematography, Great Score, Mind-Blowing plot twist (which I caught hehe), ending is very forced and pretty bad."
tt4034228,Manchester by the Sea,2016,4.0,2017-02-19,Very Good,"Rating: 8.9
Very good Acting, Incredible Character development, Incredible Writing, A little Slow at times, Great ending, Decent Score."
tt1386588,The Other Guys,2010,4.5,2022-04-09,Great,"REDUX (04/09/2022)
Rating: 9.4
Overall, an incredibly funny movie that is incredibly quotable and a must watch for the jokes and the chemistry between Will Ferrell and Mark Wahlburg as it is a pillar in the buddy cop genre that began to take over the early 2010s.

ORIGINAL (02/19/2017)
Rating: 8.4
Hilarious, Great Story, Great Chemistry."
tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,5.0,2017-02-24,Brilliant,"Rating: 9.7
Hilarious, Great Acting, Incredible Writing, Has a lot of balls to make a movie like this. "
tt3741834,Lion,2016,4.5,2017-02-25,Great,"Rating: 9.0
Incredible acting by Saroo actors, good acting by cast, Incredible Story, Incredible Screenplay, Incredible Score, Incredible Cinematography, Problem with spacing of time, love scenes and some scenes by white actors were hard to watch. Connected on a deeper personal level to the movie. Based on a true story."
tt4975722,Moonlight,2016,1.5,2017-02-25,Bad,"Rating: 4.5
Some acting was good some acting was OK (The best actor in the movie is only in it for like 10 mins and Harris does an decent job), Good Writing, good Artistic Vision, Great Score. No plot whatsoever. No clear character development which was the point of the movie."
tt2040560,The Pact,2012,0.0,2017-02-26,Terrible,"Rating: 1.6
One of the worst horror movies I've seen, Terrible screenplay, Terrible story, Terrible acting, not even that scary, more funny than scary, couple parts are creepy."
tt1853728,Django Unchained ,2012,5.0,2017-03-26,Incredible,"Rating: 9.5
Incredible acting by main cast, though some was not better than others, Incredible Screenplay, Incredible Story, Great violence, great music, some music didn't really fit the mood."
tt5052448,Get Out,2017,4.0,2017-03-26,Very Good,"Rating: 8.8
Movie comes around full circle, the shift in the middle explains for the uncomfortable and bad acting in the beginning of the movie, good acting, great story, natural but awkward screenplay, more of a thriller than horror movie, great last 3rd, Movie makes you feel very uncomfortable but the movie makes clear why it does this."
tt1592873,LOL,2012,0.0,2017-03-26,Terrible,"Rating: 1.2
Possibly one of the worst movies I've ever seen. Terrible Screenplay, Terrible Acting, Terrible Story, Terrible Everything. Nothing is going for this movie. "
tt0357413,Anchorman: The Legend of Ron Burgundy,2004,3.5,2017-04-02,Pretty Good,"Rating: 7.8
Iconic, very funny, kinda bad writing at times, Great Story."
tt1282140,Easy A,2010,2.5,2017-04-02,Pretty Bad,"Rating: 6.0
Very average movie, entertaining, some of the dialogue is very pointless, little bit funny at times, the narrative driven style is very clique (but is addressed in the movie)."
tt0468569,The Dark Knight,2008,5.0,2017-04-09,Brilliant,"Rating: 9.9
Everything about this is brilliant."
tt3315342,Logan,2017,4.0,2017-04-17,Very Good,"Rating: 8.8
Very Good Acting, Great Action, some parts were unnecessary, great how everyone dies, Decent Score, great story."
tt4849438,Baahubali 2: The Conclusion,2017,2.5,2017-05-21,Pretty Bad,"Rating: 6.2
Unnecessary CGI moments, good story, Decent acting, not as good as the first, good action."
