Title,Rating,Review,Release Year,Review Date,Id,imdbID
Rogue One: A Star Wars Story,8.1,"REDUX 09/04/22: Good to Very Good Direction (Able to move the story forward (though in a more cautious manner) and execute the action scenes very well; also does a pretty good job in getting the most of out his actors (though they are limited throughout the movie)), Pretty Good to Good Acting (Good to Very Good from Felicity Jones (Able to command all the scenes she is in and be a very vocal leader with her cast and during the action scenes, though she does some limitations when it comes to the more powerful scenes), Good from Diego Luna (Able to hold his own for a majority of the movie and does well in the more action-packed scenes, but he shows his ceiling in many of the dramatic scenes), Very Good from Ben Mendelsohn (Able to play the villain role very well and shows range throughout the movie in being that menacing figure wanting more power), Great from Alan Tudyk (Really steals the show with his performance as he plays the smart-witted/comedic relief character), Decent from Forest Whitaker (Very over-the-top in his performance but does a good job in commanding the scenes he is in), Pretty Good to Good from Riz Ahmed (Plays the anxious character well but does show a bit of inexperience to where his character is not that believable), Decent from James Earl Jones (Something just feels very off from his performance (probably from the age), but he does do a good job in making Vader feel like a menacing presence), Pretty Bad to Decent from the rest of the cast (Just typical Star Wars level acting))), Very Good to Great Story (The architecture of the story is very well laid out and entertaining (even though there are massive deviations from the traditional storytelling), though the storytelling is a bit on the safer side and not as ambitious as other Star Wars movies; the story also does try to jam a lot into it and this takes away from building some of the side characters and their relationships to the story), Pretty Good to Good Screenplay (While there were some iconic lines, a lot of this movie is filled with corny dialogue meant to build power (but just ends up being a bit more laughable); The character writing for some of the characters were really good but they introduce so many characters that it just waters down all the new introductions; the foreshadowing, symbolism, and allusions to A New Hope were very well executed as it helps paint a more holistic picture of the first Star Wars movie (especially painting the rebellion to be a bit more on the darker side)), Very Good to Great Score (Helps keep that Star Wars feel while adding new themes to the universe), Great Cinematography, Incredible Sound, Incredible Editing, Great to Incredible Visual Effects (Everything from this movie was incredible but the Deepfakes did show their age as it falls more into the uncanny valley now), Very Good Production Design, Very Good Makeup, Great Costumes (Helps pay homage to A New Hope's costumes), Plot Structure was very well executed from a macro level as it helps entertain the audience but there is a lot jammed into the movie that it takes away from helping build the characters and their importance (they are kinda just plopped into the story), Pacing was a bit on the faster side cause of how much they try to jam (if they cut like cut 30 minutes of new content/characters and used it to slow the pace and build up some of their characters the movie would have a bit better execution), Build to climax was very well done and is a bit similar to other blockbuster/Star Wars movies; climax was incredibly executed and the best part of the movie (whether it be from the fights on the ground or the fire fights), Tone of the movie is very similar to other Star Wars movies but the movie does have a bit of a unique feel that is separate, The movie does a great job in displaying fan service as it does a good job in showing the importance and elements of the original film (whether it be the allusions or the ending scene that is jaw-dropping in its execution). Overall, an entertaining movie that helps rejuvenate the Star Wars franchise through its well executed action scenes and fan-service to the original film, though it is filled with corny dialogue and introduction of too many new elements that it is not able to be on the same par as the original trilogy. ORIGINAL (8.5, 01/06/2017): Final Third of the movie was amazing, great action, great plot, has a gradual progression from slow to fast pace, not a memorable cast due to the fact that they all die.",2016,09/04/2022,1,tt3748528
Dangal,7.0,"Very good acting from Aamir Khan, plot is very well spaced out, very predictable and cliche",2016,01/07/2017,2,tt5074352
The Karate Kid,7.7,"Very good acting by Pat Morita, Terrible Screenplay, Great story, Rememberable movie",1984,01/08/2017,3,tt0087538
La La Land,9.6,"REDUX 03/28/2023: Incredible to Brilliant Direction (Really does an amazing job in building this modern world filled with nostalgic pieces of old Hollywood; truly blends in different elements of story and acting help tell an iconic tale that highlights the golden era of Hollywood; the movie on a macro scale is phenomenal as it builds these lush sets for the music numbers, is also great at a micro scale as it helps build the dreams fo the two leads), Very Good to Great Acting (Great from Ryan Gosling (Does a great job in playing off of Emma Stone very well and also being this relic of old hollywood that is initially resistent to change, but changes over time the more he opens himself up to Mia), Great from Emma Stone (The real star of the show as she does a great job in being the hopeful actress who is starting to doubt herself; she really plays off of Gosling well as their chemistry is what really drives both of their performances (and the movie) forward), Very Good from the rest of the cast), Brilliant Story (The parallelism then divergence of both the leads in their dreams and their relationship really brought a sense of realism to what could actually happen (even in a fantasy world); everything that happened in the story of this movie I would not change as it is near perfect on so many accounts; in terms of an actual narrative structure, is is laid out very well with all the different elements of the plot labeled very nicely (in a way that mimics old hollywood)), Incredible to Brilliant Screenplay (The dialogue is just very natural yet has flavors of old hollywood; the symbolism is in incredible as it really helps with showing the meanings of the movie in terms of aspirations and love; the foreshadowing is some of the best I have ever seen in a movie as there are small symbols that are subtle touches that come out towards the end of the movie), Brilliant Score/Brillaint Soundtrack (My favorite use of music in a movie as it is weaved so perfectly into the film to build emotion and tone), Great Cinematography, Great Sound (Helps in giving it that Jazzy, old hollywood feel), Great Editing, Incredible Production Design (Helps in building the feel and tone of the movie), Very Good Costumes (More just about the dresses than the costumes in general, the strong colors really help in making the movie playful), Plot Structure is laid out perfectly as it does not say too far in any moment of the narrative arc; all the different elements are established very well (which kinda helps with the transition slides in the movie), Pacing was a consistent pace nothing feels like it is rushing or dragging (runtime is perfect as it is), Climax was very good as it is a climax in the main narrative of the movie; it is the resolution that is the best part of the movie as it shows the true message of the movie and what would actually happen (with it being executed so well), Tone was established very well as it is a very old hollywood/musical feel as many elements of the movie (production design, screenplay, music, sound, etc.) really come together to help give this feel. Overall, an Incredible movie that really is a strong homage to old Hollywood as almost all of the elements come together to tell this realistic dream of what may happen to those who chase their dreams in Hollywood, with the Direction, Writing, Score, and Production Design being major highlights in making this movie a modern classic. ORIGINAL (9.6, 01/10/2017): Incredible acting by both actors, Great chemistry, Incredible music, Incredible Story, Incredible Screenplay, Movie comes around full circle, Unpredictable ending, Ryan cannot sing, some points are kinda pointless.",2016,03/28/2023,4,tt3783958
Fences,6.7,"First Half extremely boring (Did not connect with story), Southern drawl makes it a turn off, Great Acting by all characters (movie only acting though), Viola Davis was incredible, Screenplay makes it only based on acting so might appeal to others who like plays and broadway",2016,02/12/2017,5,tt2671706
Rocky,9.7,"Brilliant acting by all characters, Incredible story, Incredible screenplay, Incredible music, Unpredictable ending, Can tell the crew made the best of what they could from such a low budget, Can be very slow at points ",1976,02/12/2017,6,tt0075148
Arrival,8.1,"Acting has no emotion but is not bad, Great Story, Great Screenplay, Incredible Cinematography, Great Score, Mind-Blowing plot twist (which I caught hehe), ending is very forced and pretty bad.",2016,02/12/2017,7,tt2543164
Manchester by the Sea,8.9,"Very good Acting, Incredible Character development, Incredible Writing, A little Slow at times, Great ending, Decent Score",2016,02/19/2017,8,tt4034228
The Other Guys,9.4,"REDUX 04/09/2022: Very Good Direction (Was able to blend the comedic and action elements very well), Good to Very Good Acting (Incredible from Will Ferrell (Incredible Chemistry between Will Ferrell and Mark Wahlburg as both actors' strengths come out when working off each other), Incredible from Mark Wahlberg (See Will Ferrell), Great from Michael Keaton (Really steals the show in his over-the-top nature), Good from Steve Coogan, Good to Very Good from Samuel L. Jackson (In his very brief roles), Good to Very Good from Dwayne Johnson (In his very brief roles), Pretty Good to Good from the rest of the cast), Great Story (At its core, the movie is pretty surface level in that cops are trying to make a break for themselves, but the typical Adam McKay and Will Ferrell story elements really make different elements of the story funny), Incredible to Brilliant Screenplay (One of the funniest movies I have watched due to the quotable jokes and how stereotypical of a Will Ferrell movie this is), Good Cinematography, Pretty Good Sound, Pretty Good Editing, Pretty Good Visual Effects, Plot Structure was very nice and laid out well, Pacing was good as it kept a consistent pace (with no scenes really needed to be cut, but some of the deleted scenes were very funny), Build to climax was very typical of movies from this time (so pretty good); climax was good (A generic mix of 2000s action with comedic elements), Tone was set very nicely as it followed the action comedy template very nicely. Overall, an incredibly funny movie that is incredibly quotable and a must watch for the jokes and the chemistry between Will Ferrell and Mark Wahlburg as it is a pillar in the buddy cop genre that began to take over the early 2010s. ORIGINAL (8.4, 02/19/2017): Hilarious, Great Story, Great Chemistry.",2010,04/09/2022,9,tt1386588
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,9.7,"Hilarious, Great Acting, Incredible Writing, Has a lot of balls to make a movie like this. ",2006,02/24/2017,10,tt0443453
